DIVA;PlatformText;Municipality;MunicipalityID;Longitude;Latitude
60200305;Felmayergasse;Wien;90001;16.4320371;48.2719532
60200306;Fendigasse;Wien;90001;16.3557881;48.1839362
60200307;Sonnleithnergasse;Wien;90001;16.3630105;48.1789827
60200308;Gspöttgraben;Wien;90001;16.314753;48.255783
60200309;Fernsprechamt Heiligenstadt;Wien;90001;16.3597766;48.2540784
60200311;Feuerwache Am Steinhof;Wien;90001;16.2780569;48.2153352
60200312;Feuerwache Grinzing;Wien;90001;16.3324948;48.2615305
60200314;Fickeysstraße;Wien;90001;16.4237097;48.1670432
60200315;Filmteichstraße;Wien;90001;16.3968501;48.1526258
60200316;Finsterbuschstraße Nord;Wien;90001;16.4978297;48.1734596
60200317;Billgasse;Wien;90001;16.4833578;48.2244388
60200318;Löschniggasse;Wien;90001;16.4805371;48.222763
60200319;1. Haidequerstraße Mitte;Wien;90001;16.4291984;48.1824927
60200320;Dammhaufengasse;Wien;90001;16.4470749;48.195752
60200321;Pfarrgasse/Traviatagasse;Wien;90001;16.3431308;48.1424845
60200322;Zimbagasse;Wien;90001;16.2190735;48.2061821
60200323;Auhof;Wien;90001;16.2182021;48.2075651
60200324;1. Haidequerstraße Süd;Wien;90001;16.428363;48.1812349
60200325;Giefinggasse;Wien;90001;16.4259016;48.26824
60200327;Kaltenleutgeber Straße 16/141;Wien;90001;16.2292604;48.1273407
60200329;Fischergrund;Wien;90001;16.4409214;48.2160834
60200330;Fichtnergasse;Wien;90001;16.2888816;48.1871225
60200331;Florian-Geyer-Gasse;Wien;90001;16.3918015;48.1569347
60200332;Florian-Hedorfer-Straße;Wien;90001;16.4312555;48.1656172
60200333;Florianigasse;Wien;90001;16.345682;48.2127912
60200334;Floridsdorf;Wien;90001;16.4002996;48.2567938
60200335;Joseph-Lister-Gasse;Wien;90001;16.2695318;48.175143
60200336;Flotowgasse;Wien;90001;16.3383608;48.2405889
60200337;Flugfeldstraße;Wien;90001;16.5043335;48.2156584
60200338;Flötzersteig;Wien;90001;16.2788564;48.2038353
60200339;Flötzersteigbrücke;Wien;90001;16.290777;48.2071879
60200340;Mauerbachstraße/Baumschule;Wien;90001;16.2178967;48.2181245
60200341;Forsthausgasse;Wien;90001;16.375021;48.2452493
60200342;Frachtenbahnhof Lobau Hafen;Wien;90001;16.4753449;48.1878891
60200343;Franz-Asenbauer-Gasse;Wien;90001;16.2712566;48.1547414
60200344;Franz-Josef-Spital;Wien;90001;16.348889;48.1749153
60200345;Franz-Josefs-Bahnhof;Wien;90001;16.361151;48.2259888
60200346;Klinik Landstraße;Wien;90001;16.3908583;48.1966442
60200347;Franz-Pletersky-Weg;Wien;90001;16.4507131;48.213288
60200348;Franzensbrücke;Wien;90001;16.3915231;48.2138148
60200349;Franzosenweg;Wien;90001;16.3827914;48.1401527
60200350;Forchheimergasse;Wien;90001;16.3078091;48.1409559
60200351;Freesienweg;Wien;90001;16.2428968;48.2044819
60200352;Freiheitsplatz;Wien;90001;16.4162447;48.3014339
60200353;Freihofsiedlung;Wien;90001;16.4502729;48.2425273
60200354;Kraftwerk Freudenau;Wien;90001;16.4791357;48.1744241
60200355;Freyenthurmgasse;Wien;90001;16.2567578;48.2054877
60200357;Friedensbrücke;Wien;90001;16.364879;48.2270301
60200358;Baumgarten;Wien;90001;16.2714902;48.1990633
60200359;Friedensgasse;Wien;90001;16.4024645;48.2032545
60200360;Mariabrunn Kirche;Wien;90001;16.2310031;48.2077627
60200361;Friedjunggasse;Wien;90001;16.4190385;48.16503
60200362;Obkirchergasse;Wien;90001;16.3419989;48.2457698
60200363;Friedrich-Engels-Platz;Wien;90001;16.3797282;48.2442742
60200364;Friedstraße;Wien;90001;16.4046385;48.2454408
60200365;Frödenplatz;Wien;90001;16.3586537;48.1553047
60200366;Frömmlgasse;Wien;90001;16.3921249;48.2562495
60200367;Fröschelgasse;Wien;90001;16.3209514;48.251973
60200368;Flurschützstraße/Längenfeldgasse;Wien;90001;16.3400676;48.1793541
60200369;Fultonstraße;Wien;90001;16.4145469;48.253241
60200370;Funkengerngasse;Wien;90001;16.2936516;48.2153951
60200371;Seegasse;Wien;90001;16.3614115;48.2229725
60200372;Ottakringer Friedhof;Wien;90001;16.3015208;48.2140782
60200373;Kaltenleutgebner Straße 10/63;Wien;90001;16.2463194;48.1318256
60200374;Kaltenleutgeber Straße 137;Wien;90001;16.2329075;48.1291215
60200375;Salvigasse;Wien;90001;16.4335013;48.2964439
60200376;Gatterburggasse;Wien;90001;16.3491405;48.2395898
60200377;Gattergasse;Wien;90001;16.422461;48.1608417
60200378;Gatterhölzl;Wien;90001;16.3187595;48.1758798
60200379;Gaudenzdorfer Gürtel;Wien;90001;16.3430949;48.1872423
60200380;Gaußplatz;Wien;90001;16.3699096;48.226282
60200381;Gaßmannstraße;Wien;90001;16.3130642;48.1742623
60200382;Geiereckstraße;Wien;90001;16.3996259;48.1750351
60200383;Geistingergasse;Wien;90001;16.3628129;48.2455365
60200384;Gellertplatz;Wien;90001;16.3826387;48.1750112
60200385;Gemeindeberggasse;Wien;90001;16.2645372;48.1812169
60200386;Opelwerk;Wien;90001;16.5031297;48.2177115
60200387;Genochplatz;Wien;90001;16.4559323;48.229322
60200388;Brünner Straße/Hanreitergasse;Wien;90001;16.4130108;48.2841432
60200389;Gerhardusgasse;Wien;90001;16.3662534;48.2316977
60200390;Geringergasse;Wien;90001;16.4259645;48.1680018
60200391;Gernotgasse;Wien;90001;16.5330436;48.2197405
60200392;Geroldgasse;Wien;90001;16.2835366;48.2391231
60200393;Gersthof;Wien;90001;16.3291171;48.2311591
60200394;Ehrenpreisgasse;Wien;90001;16.4612772;48.2180228
60200395;Gersthofer Friedhof;Wien;90001;16.3165407;48.2299743
60200396;Getreidemarkt;Wien;90001;16.3629297;48.2018116
60200397;Geusaugasse;Wien;90001;16.3945414;48.2041286
60200399;Zippererstraße;Wien;90001;16.4111243;48.1794978
60200400;Heinrich-Drimmel-Platz;Wien;90001;16.3911188;48.187949
60200401;Ghelengasse;Wien;90001;16.2595066;48.1803005
60200403;Gladiolenweg;Wien;90001;16.4790549;48.2375496
60200404;Glanzing;Wien;90001;16.3217509;48.2431854
60200405;Glatzgasse;Wien;90001;16.353174;48.2333492
60200406;Glawatschweg;Wien;90001;16.2661901;48.1636759
60200407;Glockengasse;Wien;90001;16.3818752;48.2177953
60200408;Gloriettegasse;Wien;90001;16.2920616;48.1829959
60200409;Glossystraße;Wien;90001;16.2360786;48.2123782
60200410;Gobergasse;Wien;90001;16.2687952;48.1792163
60200411;Goethehof;Wien;90001;16.4190385;48.2294896
60200412;Gogolgasse;Wien;90001;16.2766375;48.182367
60200413;Goldhammergasse;Wien;90001;16.322757;48.1443067
60200414;Gotthelfgasse;Wien;90001;16.4726858;48.2272754
60200415;Graben/Petersplatz;Wien;90001;16.3695682;48.2091575
60200416;Graf-Seilern-Gasse;Wien;90001;16.3087613;48.1710872
60200417;Grasbergergasse;Wien;90001;16.4004254;48.1861942
60200418;Grasgasse;Wien;90001;16.282243;48.2298905
60200419;Gredlerstraße;Wien;90001;16.3798719;48.2140064
60200420;Gregor-Mendel-Straße;Wien;90001;16.3377769;48.234139
60200421;Gregorygasse;Wien;90001;16.3054465;48.1572523
60200422;Eßling, Schippanisiedlung;Wien;90001;16.5442995;48.2193754
60200423;Greutberggasse;Wien;90001;16.2051586;48.2278798
60200424;Griegstraße;Wien;90001;16.3753354;48.2493829
60200425;Enkplatz;Wien;90001;16.4153104;48.1743402
60200426;Grinzing;Wien;90001;16.3421516;48.25549
60200427;Am Bahnhof;Wien;90001;16.4510903;48.223948
60200428;Grinzinger Straße;Wien;90001;16.3653641;48.2547543
60200429;Donaustadtstr./Lange Allee;Wien;90001;16.4445237;48.2273772
60200430;Großer Biberhaufen;Wien;90001;16.4733775;48.2022067
60200431;Großjedlersdorf;Wien;90001;16.4085731;48.2765031
60200432;Großmarktstraße;Wien;90001;16.367008;48.1465245
60200434;Gruschaplatz;Wien;90001;16.2826383;48.1953927
60200435;Gräßlplatz;Wien;90001;16.3973621;48.1768382
60200436;Gumpendorfer Straße;Wien;90001;16.3375613;48.1907278
60200437;Grenzgasse;Wien;90001;16.329683;48.1932849
60200438;Guneschgasse;Wien;90001;16.3535513;48.2365324
